,date,province,price
555,2009-11-27,Punjab,506.6
556,2009-12-01,Punjab,630.05
557,2009-12-02,Punjab,623.5
558,2009-12-03,Punjab,593.96
559,2009-12-05,Punjab,608.8090909090909
560,2009-12-06,Punjab,572.7428571428571
561,2009-12-08,Punjab,565.5739130434783
562,2009-12-09,Punjab,632.1999999999999
563,2009-12-10,Punjab,603.6076923076923
564,2009-12-11,Punjab,565.28
565,2009-12-12,Punjab,579.6823529411765
566,2009-12-14,Punjab,579.6823529411765
567,2009-12-15,Punjab,571.8666666666667
568,2009-12-16,Punjab,565.5714285714286
569,2009-12-17,Punjab,580.4857142857143
570,2009-12-18,Punjab,573.75
571,2009-12-19,Punjab,592.2
572,2009-12-21,Punjab,571.9818181818182
573,2009-12-22,Punjab,579.168
574,2009-12-23,Punjab,567.4956521739131
575,2009-12-24,Punjab,568.8105263157895
576,2009-12-26,Punjab,581.5066666666667
577,2009-12-29,Punjab,578.625
578,2009-12-30,Punjab,591.38
579,2009-12-31,Punjab,598.15
580,2010-01-01,Punjab,625.25
581,2010-01-02,Punjab,729.7919999999999
582,2010-01-03,Punjab,776.6444444444445
583,2010-01-04,Punjab,741.1142857142858
584,2010-01-06,Punjab,915.3
585,2010-01-07,Punjab,999.5
586,2010-01-09,Punjab,1027.0842105263157
587,2010-01-10,Punjab,1002.8571428571429
588,2010-01-11,Punjab,936.2571428571429
589,2010-01-12,Punjab,930.488
590,2010-01-13,Punjab,701.9
591,2010-01-14,Punjab,702.04
592,2010-01-15,Punjab,714.96
593,2010-01-16,Punjab,721.8
594,2010-01-18,Punjab,716.7916666666666
595,2010-01-19,Punjab,724.7111111111111
596,2010-01-20,Punjab,738.0636363636363
597,2010-01-21,Punjab,729.3473684210527
598,2010-01-22,Punjab,725.8888888888889
599,2010-01-23,Punjab,739.6666666666666
600,2010-01-25,Punjab,737.1391304347826
601,2010-01-26,Punjab,732.6923076923077
602,2010-01-27,Punjab,733.0
603,2010-01-28,Punjab,729.8384615384615
604,2010-01-29,Punjab,717.5
605,2010-01-30,Punjab,736.13
606,2010-02-01,Punjab,646.0
607,2010-02-02,Punjab,729.4090909090909
608,2010-02-03,Punjab,717.8285714285714
609,2010-02-04,Punjab,770.5
610,2010-02-06,Punjab,941.5500000000001
611,2010-02-07,Punjab,971.25
612,2010-02-08,Punjab,988.5799999999999
613,2010-02-09,Punjab,1027.0842105263157
614,2010-02-10,Punjab,900.0
615,2010-02-11,Punjab,940.5157894736843
616,2010-02-12,Punjab,935.6600000000002
617,2010-02-13,Punjab,774.375
618,2010-02-15,Punjab,772.8571428571429
619,2010-02-16,Punjab,752.3111111111111
620,2010-02-17,Punjab,709.5428571428572
621,2010-02-18,Punjab,718.6857142857143
622,2010-02-19,Punjab,745.0
623,2010-02-20,Punjab,767.1142857142858
624,2010-02-22,Punjab,773.342857142857
625,2010-02-23,Punjab,763.9777777777778
626,2010-02-24,Punjab,773.1555555555556
627,2010-02-25,Punjab,729.175
628,2010-02-26,Punjab,765.25
629,2010-03-02,Punjab,755.625
630,2010-03-03,Punjab,743.675
631,2010-03-05,Punjab,750.4333333333334
632,2010-03-06,Punjab,953.3
633,2010-03-08,Punjab,981.0210526315791
634,2010-03-09,Punjab,973.9333333333335
635,2010-03-11,Punjab,935.6736842105264
636,2010-03-12,Punjab,941.9058823529413
637,2010-03-13,Punjab,743.4857142857143
638,2010-03-15,Punjab,735.425
639,2010-03-16,Punjab,751.8
640,2010-03-17,Punjab,794.1999999999999
641,2010-03-18,Punjab,728.48
642,2010-03-19,Punjab,760.3333333333334
643,2010-03-20,Punjab,718.7333333333332
644,2010-03-22,Punjab,761.85
645,2010-03-25,Punjab,750.725
646,2010-03-26,Punjab,830.0
647,2010-03-27,Punjab,737.9
648,2010-03-29,Punjab,749.175
649,2010-03-30,Punjab,755.675
650,2010-03-31,Punjab,748.1142857142858
651,2010-04-01,Punjab,636.3217391304348
652,2010-04-02,Punjab,736.6285714285714
653,2010-04-03,Punjab,772.55
654,2010-04-05,Punjab,738.95
655,2010-04-06,Punjab,1010.0
656,2010-04-08,Punjab,962.8888888888889
